Book,Author,Achievement,Active Dates,Source,Link,Cover,Season
Seascraper,Benjamin Wood,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/232428461,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1746000385i/232428461.jpg,Fall 2025
Dominion,Addie E. Citchens,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/219743601,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1735251466i/219743601.jpg,Fall 2025
The Hounding,Xenobe Purvis,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/217388147,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1727253986i/217388147.jpg,Fall 2025
Little World,Josephine Rowe,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/217043721,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1737849860i/217043721.jpg,Fall 2025
"Open, Heaven",Seán Hewitt,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/216522629,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1721764280i/216522629.jpg,Fall 2025
The Year of the Wind,Karina Pacheco Medrano,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/222376594,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1747427993i/222376594.jpg,Fall 2025
Audition for the Fox,Martin Cahill,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/228022844,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1750697361i/228022844.jpg,Fall 2025
The Unworthy,Agustina Bazterrica,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/214151601,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1722354275i/214151601.jpg,Fall 2025
The Summer War,Naomi Novik,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/222683998,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1747927269i/222683998.jpg,Fall 2025
Run for the Hills,Kevin    Wilson,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/218671843,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1727261499i/218671843.jpg,Fall 2025
Tantrum,Rachel Eve Moulton,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/221251788,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1733280633i/221251788.jpg,Fall 2025
Discontent,Beatriz Serrano,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/222828632,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1751989709i/222828632.jpg,Fall 2025
The Book of I,David Greig,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/225166002,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1745570208i/225166002.jpg,Fall 2025
A Guardian and a Thief,Megha Majumdar,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/232207672,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1760973092i/232207672.jpg,Fall 2025
The River Has Roots,Amal El-Mohtar,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/211004176,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1719522277i/211004176.jpg,Fall 2025
Small Boat,Vincent Delecroix,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/228394781,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1741272009i/228394781.jpg,Fall 2025
Exiles,Mason Coile,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/222683916,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1737856070i/222683916.jpg,Fall 2025
Midnight Timetable: A Novel in Ghost Stories,Bora Chung,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/223296389,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1743273023i/223296389.jpg,Fall 2025
These Memories Do Not Belong to Us,Yiming Ma,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/221452836,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1731410407i/221452836.jpg,Fall 2025
Automatic Noodle,Annalee Newitz,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/217388015,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1731705824i/217388015.jpg,Fall 2025
Fire Exit,Morgan Talty,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/197789783,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1695910751i/197789783.jpg,Fall 2025
Land of Milk and Honey,C Pam Zhang,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/101673225,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1683827919i/101673225.jpg,Fall 2025
Our Wives Under the Sea,Julia Armfield,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/58724816,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1636047905i/58724816.jpg,Fall 2025
